sourcefiles/js/at.js: line 64, col 14, 'x' is already defined.
sourcefiles/js/at.js: line 66, col 13, 'sx' is already defined.
sourcefiles/js/at.js: line 180, col 13, '_datea' is already defined.
sourcefiles/js/at.js: line 181, col 13, '_da' is already defined.
sourcefiles/js/at.js: line 301, col 12, ['Save'] is better written in dot notation.
sourcefiles/js/at.js: line 302, col 12, ['Cancel'] is better written in dot notation.
sourcefiles/js/at.js: line 397, col 23, ['tags'] is better written in dot notation.
sourcefiles/js/at.js: line 434, col 27, ['services'] is better written in dot notation.
sourcefiles/js/at.js: line 583, col 9, '_b' is already defined.
sourcefiles/js/at.js: line 1096, col 21, '_h' is already defined.
sourcefiles/js/at.js: line 1097, col 21, '_m' is already defined.

sourcefiles/js/bqe.js: line 181, col 37, ['satellites'] is better written in dot notation.
sourcefiles/js/bqe.js: line 183, col 43, ['service'] is better written in dot notation.
sourcefiles/js/bqe.js: line 184, col 43, ['name'] is better written in dot notation.
sourcefiles/js/bqe.js: line 210, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 212, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 213, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 238, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 239, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 249, col 35, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 250, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 251, col 35, ['provider'] is better written in dot notation.
sourcefiles/js/bqe.js: line 278, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 54, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 81, ['startpos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 281, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 282, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 306, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 307, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 328, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 330, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 331, col 41, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 332, col 41, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 333, col 49, ['pos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 334, col 35, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 341, col 54, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 654, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 657, col 45, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 658, col 49, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 659, col 41, ['provider'] is better written in dot notation.

sourcefiles/js/epgr.js: line 84, col 39, ['services'] is better written in dot notation.

sourcefiles/js/openwebif.js: line 658, col 44, ['disabled'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 747, col 16, You might be leaking a variable (current_ref) here.
sourcefiles/js/openwebif.js: line 747, col 40, ['currservice_serviceref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 748, col 19, You might be leaking a variable (current_name) here.
sourcefiles/js/openwebif.js: line 748, col 44, ['currservice_station'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 755, col 44, ['currservice_begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 755, col 86, ['currservice_end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 758, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 765, col 227, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 765, col 278, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 769, col 230, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 769, col 281, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 771, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 772, col 74, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 773, col 76, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 775, col 84, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 778, col 59, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 780, col 50, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 782, col 41, ['currservice_description'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 798, col 48, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 799, col 36, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 804, col 23, ['muted'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 816, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 822, col 23, ['isRecording'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 823, col 138, ['Recording_list'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 829, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 874, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 901, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1057, col 18, 'id' is already defined.
sourcefiles/js/openwebif.js: line 1774, col 29, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1776, col 47, ['begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1777, col 47, ['end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2033, col 22, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2034, col 23, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2035, col 77, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2036, col 24, ['subservices'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2039, col 26, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2043, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2045, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2047, col 89, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2085, col 25, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2097, col 27, ['services'] is better written in dot notation.

83 errors
